,FECHA,FOLIO,PROVEEDOR,DESCRIPCION,TIPO_GASTO,IMPORTE,IVA,TOTAL MX
4,2022-01-01,280109,BEPENSA LEASING S.A. DE C.V.,AA RENTA EXIGIBLE CL0000006877 18/36 de 03/12/2021 a 02/01/2022,ARRENDAMIENTO FINANCIERO,5551.98,888.32,6440.299999999999
5,2022-01-01,007817297284,"BANCO NACIONAL DE MEXICO, S.A.",Servicios de Facturación,COMISION BANCARIA,0.0,0.0,0
6,2022-01-01,5595,CARLOS ENRIQUE ZERMEÑO GUTIERREZ,Pago,COMPRAS,0.0,0.0,0
7,2022-01-01,5614,CARLOS ENRIQUE ZERMEÑO GUTIERREZ,Pago,COMPRAS,0.0,0.0,0
8,2022-01-01,42862,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",Pago,COMPRAS,0.0,0.0,0
9,2022-01-01,383133,"ASPEL DE MEXICO, SA DE CV",Suscripción ASPEL-NOI Mensual 1 Usr(s),MTTO COMPUTO,360.0,57.6,417.6
10,2022-01-01,156067,BEPENSA LEASING S.A. DE C.V.,Pago,ARRENDAMIENTO FINANCIERO,0.0,0.0,0
11,2022-01-01,156068,BEPENSA LEASING S.A. DE C.V.,Pago,ARRENDAMIENTO FINANCIERO,0.0,0.0,0
12,2022-01-01,901060,"BEBIDAS PURIFICADAS, S. DE R.L. DE C.V.",Epura 20 Lts Policarbonato,ALIMENTOS,78.0,0.0,78
13,2022-01-01,4218113,"COSTCO DE MEXICO, S.A. DE C.V.",CAMISETA TÉRMICA PARA DAMA 32 DEGREES HEAT,NO DEDUCIBLE,0.0,0.0,0
14,2022-01-01,4218131,"COSTCO DE MEXICO, S.A. DE C.V.",CERTIFICADO DE REGALO TARJETA CON 4 BOLETOS CINEPOLIS VIP,NO DEDUCIBLE,0.0,0.0,0
15,2022-01-01,987862,"COSTCO DE MEXICO, S.A. DE C.V.",CERTIFICADO DE REGALO TARJETA 10 BOLETOS CINEMEX,NO DEDUCIBLE,0.0,0.0,0
